r,phi,phi',Phi,s
9.82,-3.91032,-0.499706,-0.3982,0
9.84,-3.92032,-0.499711,-0.398406,0
9.86,-3.93031,-0.499716,-0.398612,0
9.88,-3.9403,-0.499722,-0.398816,0
9.9,-3.9503,-0.499727,-0.39902,0
9.92,-3.96029,-0.499731,-0.399223,0
9.94,-3.97029,-0.499736,-0.399425,0
9.96,-3.98028,-0.499741,-0.399627,0
9.98,-3.99028,-0.499746,-0.399827,0
10,-4.00027,-0.49975,-0.400027,0
10.02,-4.01027,-0.499755,-0.400226,0
10.04,-4.02026,-0.499759,-0.400425,0
10.06,-4.03026,-0.499764,-0.400622,0
10.08,-4.04025,-0.499768,-0.400819,0
10.1,-4.05025,-0.499772,-0.401015,0
10.12,-4.06024,-0.499776,-0.40121,0
10.14,-4.07024,-0.49978,-0.401404,0
10.16,-4.08024,-0.499784,-0.401598,0
10.18,-4.09023,-0.499788,-0.401791,0
10.2,-4.10023,-0.499792,-0.401983,0
10.22,-4.11022,-0.499796,-0.402174,0
10.24,-4.12022,-0.499799,-0.402365,0
10.26,-4.13021,-0.499803,-0.402555,0
10.28,-4.14021,-0.499806,-0.402744,0
10.3,-4.15021,-0.49981,-0.402933,0
10.32,-4.1602,-0.499813,-0.40312,0
10.34,-4.1702,-0.499817,-0.403307,0
10.36,-4.1802,-0.49982,-0.403494,0
10.38,-4.19019,-0.499823,-0.403679,0
10.4,-4.20019,-0.499827,-0.403864,0
10.42,-4.21019,-0.49983,-0.404048,0
10.44,-4.22018,-0.499833,-0.404232,0
10.46,-4.23018,-0.499836,-0.404415,0
10.48,-4.24018,-0.499839,-0.404597,0
10.5,-4.25017,-0.499842,-0.404778,0
10.52,-4.26017,-0.499845,-0.404959,0
10.54,-4.27017,-0.499847,-0.405139,0
10.56,-4.28016,-0.49985,-0.405318,0
10.58,-4.29016,-0.499853,-0.405497,0
10.6,-4.30016,-0.499855,-0.405675,0
10.62,-4.31015,-0.499858,-0.405853,0
10.64,-4.32015,-0.499861,-0.406029,0
10.66,-4.33015,-0.499863,-0.406205,0
10.68,-4.34015,-0.499866,-0.406381,0
10.7,-4.35014,-0.499868,-0.406555,0
10.72,-4.36014,-0.499871,-0.40673,0
10.74,-4.37014,-0.499873,-0.406903,0
10.76,-4.38014,-0.499875,-0.407076,0
10.78,-4.39013,-0.499877,-0.407248,0
10.8,-4.40013,-0.49988,-0.407419,0
10.82,-4.41013,-0.499882,-0.40759,0
10.84,-4.42013,-0.499884,-0.407761,0
10.86,-4.43012,-0.499886,-0.40793,0
10.88,-4.44012,-0.499888,-0.408099,0
10.9,-4.45012,-0.49989,-0.408268,0
10.92,-4.46012,-0.499892,-0.408436,0
10.94,-4.47011,-0.499894,-0.408603,0
10.96,-4.48011,-0.499896,-0.408769,0
10.98,-4.49011,-0.499898,-0.408935,0
11,-4.50011,-0.4999,-0.409101,0
11.02,-4.51011,-0.499902,-0.409266,0
11.04,-4.5201,-0.499903,-0.40943,0
11.06,-4.5301,-0.499905,-0.409593,0
11.08,-4.5401,-0.499907,-0.409756,0
11.1,-4.5501,-0.499909,-0.409919,0
11.12,-4.5601,-0.49991,-0.410081,0
11.14,-4.5701,-0.499912,-0.410242,0
11.16,-4.58009,-0.499913,-0.410403,0
11.18,-4.59009,-0.499915,-0.410563,0
11.2,-4.60009,-0.499917,-0.410722,0
11.22,-4.61009,-0.499918,-0.410881,0
11.24,-4.62009,-0.49992,-0.41104,0
11.26,-4.63009,-0.499921,-0.411198,0
11.28,-4.64008,-0.499922,-0.411355,0
11.3,-4.65008,-0.499924,-0.411512,0
11.32,-4.66008,-0.499925,-0.411668,0
