t,x,y,method
+5.309292e+01,-1.058151e+00,+6.234764e-01,RK2
+5.340708e+01,-8.100620e-01,+9.251369e-01,RK2
+5.372123e+01,-4.794467e-01,+1.133972e+00,RK2
+5.403539e+01,-9.953926e-02,+1.228635e+00,RK2
+5.434955e+01,+2.913599e-01,+1.199276e+00,RK2
+5.466371e+01,+6.537454e-01,+1.048560e+00,RK2
+5.497787e+01,+9.508993e-01,+7.914357e-01,RK2
+5.529203e+01,+1.152611e+00,+4.536461e-01,RK2
+5.560619e+01,+1.238249e+00,+6.915611e-02,RK2
+5.592035e+01,+1.198870e+00,-3.232641e-01,RK2
+5.623451e+01,+1.038152e+00,-6.839478e-01,RK2
+5.654867e+01,+7.720525e-01,-9.763413e-01,RK2
+5.686283e+01,+4.272266e-01,-1.170708e+00,RK2
+5.717699e+01,+3.835497e-02,-1.247153e+00,RK2
+5.749115e+01,-3.553425e-01,-1.197658e+00,RK2
+5.780530e+01,-7.140626e-01,-1.026922e+00,RK2
+5.811946e+01,-1.001442e+00,-7.519162e-01,RK2
+5.843362e+01,-1.188244e+00,-4.001983e-01,RK2
+5.874778e+01,-1.255333e+00,-7.151336e-03,RK2
+5.906194e+01,-1.195631e+00,+3.875760e-01,RK2
+5.937610e+01,-1.014869e+00,+7.440685e-01,RK2
+5.969026e+01,-7.310309e-01,+1.026181e+00,RK2
+6.000442e+01,-3.725718e-01,+1.205201e+00,RK2
+6.031858e+01,+2.443888e-02,+1.262773e+00,RK2
+6.063274e+01,+4.199448e-01,+1.192780e+00,RK2
+6.094690e+01,+7.739444e-01,+1.001989e+00,RK2
+6.126106e+01,+1.050536e+00,+7.094014e-01,RK2
+6.157522e+01,+1.221559e+00,+3.443582e-01,RK2
+6.188938e+01,+1.269461e+00,-5.639928e-02,RK2
+6.220353e+01,+1.189097e+00,-4.524290e-01,RK2
+6.251769e+01,+9.882828e-01,-8.036684e-01,RK2
+6.283185e+01,+6.870332e-01,-1.074487e+00,RK2
+3.141593e-01,+9.510578e-01,-3.089916e-01,RK4
+6.283185e-01,+8.090353e-01,-5.877377e-01,RK4
+9.424778e-01,+5.878333e-01,-8.089576e-01,RK4
+1.256637e+00,+3.091025e-01,-9.510010e-01,RK4
