t,x,delta_y,u,v,theta
0.386,0.301121,8.6986e-14,0.780107,0.254938,0.687775
0.387,0.301901,8.71525e-14,0.780107,0.253938,0.687775
0.388,0.302681,8.72913e-14,0.780107,0.252938,0.687775
0.389,0.303462,8.74578e-14,0.780107,0.251938,0.687775
0.39,0.304242,8.75966e-14,0.780107,0.250938,0.687775
0.391,0.305022,8.77354e-14,0.780107,0.249938,0.687775
0.392,0.305802,8.79019e-14,0.780107,0.248938,0.687775
0.393,0.306582,8.80684e-14,0.780107,0.247938,0.687775
0.394,0.307362,8.82072e-14,0.780107,0.246938,0.687775
0.395,0.308142,8.83738e-14,0.780107,0.245938,0.687775
0.396,0.308922,8.8568e-14,0.780107,0.244938,0.687775
0.397,0.309702,8.87346e-14,0.780107,0.243938,0.687775
0.398,0.310483,8.88734e-14,0.780107,0.242938,0.687775
0.399,0.311263,8.90399e-14,0.780107,0.241938,0.687775
0.4,0.312043,8.91787e-14,0.780107,0.240938,0.687775
0.401,0.312823,8.93452e-14,0.780107,0.239938,0.687775
0.402,0.313603,8.95395e-14,0.780107,0.238938,0.687775
0.403,0.314383,8.96783e-14,0.780107,0.237938,0.687775
0.404,0.315163,8.97893e-14,0.780107,0.236938,0.687775
0.405,0.315943,8.99281e-14,0.780107,0.235938,0.687775
0.406,0.316723,9.00391e-14,0.780107,0.234938,0.687775
0.407,0.317503,9.01779e-14,0.780107,0.233938,0.687775
0.408,0.318284,9.03444e-14,0.780107,0.232938,0.687775
0.409,0.319064,9.04554e-14,0.780107,0.231938,0.687775
0.41,0.319844,9.05942e-14,0.780107,0.230938,0.687775
0.411,0.320624,9.0733e-14,0.780107,0.229938,0.687775
0.412,0.321404,9.0955e-14,0.780107,0.228938,0.687775
0.413,0.322184,9.10938e-14,0.780107,0.227938,0.687775
0.414,0.322964,9.12048e-14,0.780107,0.226938,0.687775
0.415,0.323744,9.13436e-14,0.780107,0.225938,0.687775
0.416,0.324524,9.15101e-14,0.780107,0.224938,0.687775
0.417,0.325305,9.16489e-14,0.780107,0.223938,0.687775
0.418,0.326085,9.17599e-14,0.780107,0.222938,0.687775
0.419,0.326865,9.18987e-14,0.780107,0.221938,0.687775
