t,th1RK,th2RK,w1RK,w2RK,th1PV,th2PV,w1PV,w2PV
20.7,-0.533665,-0.323083,-0.810292,1.27855,-0.589745,-0.218169,-0.421667,1.4413
20.8,-0.587805,-0.182802,-0.262734,1.50266,-0.602096,-0.0686171,0.174646,1.54974
20.9,-0.585037,-0.0278246,0.319643,1.56996,-0.554961,0.0836503,0.768057,1.49561
21,-0.524398,0.125723,0.886038,1.47485,-0.451348,0.222874,1.3042,1.28886
21.1,-0.410152,0.262183,1.3827,1.2323,-0.299834,0.335234,1.72608,0.958349
21.2,-0.252021,0.368312,1.75501,0.874607,-0.114499,0.410408,1.98062,0.54512
21.3,-0.0649294,0.434665,1.95528,0.444243,0.0860779,0.442395,2.03092,0.0946285
21.4,0.132264,0.456247,1.95437,-0.0133889,0.281013,0.429688,1.86779,-0.348768
21.5,0.319109,0.43254,1.7504,-0.454553,0.450012,0.375038,1.51218,-0.744223
21.6,0.476362,0.367235,1.36852,-0.839059,0.575964,0.285057,1.00684,-1.05541
21.7,0.588295,0.267819,0.852053,-1.13142,0.646502,0.16966,0.403935,-1.25253
21.8,0.643962,0.144993,0.251794,-1.30345,0.654548,0.0412188,-0.243017,-1.3163
21.9,0.63759,0.0117356,-0.380029,-1.33851,0.598395,-0.0867111,-0.880049,-1.2423
22,0.568679,-0.118066,-0.989866,-1.23561,0.481896,-0.200977,-1.44992,-1.04301
22.1,0.442242,-0.231275,-1.52089,-1.01053,0.314805,-0.290412,-1.8919,-0.745708
22.2,0.269098,-0.31706,-1.91461,-0.692883,0.112751,-0.347051,-2.14919,-0.387057
22.3,0.0656544,-0.36801,-2.11976,-0.320385,-0.103882,-0.366747,-2.18346,-0.00687777
22.4,-0.147479,-0.380636,-2.10583,0.0670691,-0.312457,-0.349259,-1.98804,0.356643
22.5,-0.34815,-0.355365,-1.87326,0.431626,-0.491346,-0.29795,-1.58974,0.669534
22.6,-0.515801,-0.296208,-1.45242,0.739676,-0.622727,-0.219304,-1.0379,0.903393
22.7,-0.633966,-0.210266,-0.892451,0.963271,-0.694106,-0.122281,-0.389679,1.03708
22.8,-0.691482,-0.107072,-0.248638,1.08216,-0.698664,-0.0174617,0.298517,1.0593
22.9,-0.68272,0.00231562,0.42406,1.08657,-0.635191,0.0840604,0.970954,0.971141
23,-0.607545,0.106493,1.07021,0.979582,-0.508227,0.171952,1.56831,0.786692
23.1,-0.471531,0.195025,1.63069,0.777294,-0.328472,0.237839,2.02679,0.531055
23.2,-0.286338,0.259641,2.04382,0.506314,-0.112813,0.276194,2.2864,0.236039
23.3,-0.0695534,0.295075,2.25498,0.199231,0.116883,0.28475,2.30752,-0.0649142
23.4,0.156783,0.299407,2.23227,-0.110316,0.336547,0.264456,2.08576,-0.340969
23.5,0.369098,0.273967,1.97788,-0.391488,0.523487,0.219087,1.65305,-0.566419
23.6,0.54574,0.22293,1.52661,-0.618482,0.659357,0.154674,1.06434,-0.72183
23.7,0.669631,0.152749,0.932525,-0.771726,0.731614,0.0788362,0.380793,-0.794931
23.8,0.729439,0.0714739,0.254598,-0.839022,0.733697,3.53326e-07,-0.339124,-0.781786
23.9,0.719646,-0.0120494,-0.450194,-0.816936,0.664811,-0.0734794,-1.0386,-0.687808
24,0.640381,-0.089118,-1.12524,-0.711794,0.530034,-0.134253,-1.65695,-0.527669
24.1,0.497608,-0.152143,-1.7099,-0.539365,0.34078,-0.176813,-2.12812,-0.323532
24.2,0.303573,-0.195505,-2.14005,-0.322775,0.114892,-0.198072,-2.38963,-0.101651
24.3,0.0767181,-0.216119,-2.35833,-0.0889247,-0.124635,-0.197563,-2.40091,0.111848
24.4,-0.159832,-0.213604,-2.33133,0.135663,-0.35265,-0.177235,-2.15939,0.294709
24.5,-0.381399,-0.190064,-2.0624,0.328285,-0.545678,-0.140967,-1.70116,0.430641
24.6,-0.565461,-0.149594,-1.58969,0.471961,-0.685014,-0.0939471,-1.08557,0.509762
24.7,-0.694451,-0.0976783,-0.971208,0.555968,-0.758135,-0.0420404,-0.376851,0.528371
24.8,-0.756897,-0.0405552,-0.268819,0.575907,-0.758723,0.00882008,0.365094,0.488839
24.9,-0.74736,0.0154175,0.459012,0.533854,-0.686325,0.0532429,1.08287,0.399617
25,-0.666145,0.064419,1.15502,0.438437,-0.546428,0.0869636,1.71508,0.274797
25.1,-0.51946,0.1018,1.75778,0.304293,-0.350956,0.107337,2.19435,0.132667
25.2,-0.319905,0.124613,2.20167,0.150405,-0.118405,0.113621,2.45669,-0.00699211
25.3,-0.0864599,0.131908,2.42733,-0.0027566,0.127481,0.106949,2.46103,-0.126448
25.4,0.157042,0.124711,2.40009,-0.136716,0.360847,0.0899712,2.20627,-0.213099
25.5,0.385165,0.105672,2.12373,-0.237868,0.557733,0.0662777,1.73146,-0.260772
25.6,0.57477,0.0784969,1.63861,-0.298694,0.699258,0.0397827,1.09903,-0.269127
25.7,0.707928,0.047353,1.0055,-0.317347,0.772976,0.0142137,0.375342,-0.242253
25.8,0.773063,0.0163528,0.288416,-0.296612,0.772805,-0.00727665,-0.378763,-0.187554
25.9,0.764791,-0.0108649,-0.45312,-0.243073,0.698586,-0.0224115,-1.10563,-0.115144
26,0.683534,-0.0314893,-1.16155,-0.166625,0.556119,-0.0300338,-1.74371,-0.0373016
26.1,0.535632,-0.0438409,-1.77533,-0.0798615,0.357667,-0.0302659,-2.22532,0.0326603
26.2,0.333848,-0.0475854,-2.22832,0.00320856,0.122094,-0.0245069,-2.48616,0.0825202
26.3,0.0973962,-0.0437692,-2.46026,0.0694104,-0.126486,-0.0151836,-2.48544,0.103945
26.4,-0.149559,-0.0345977,-2.4356,0.109179,-0.361919,-0.00525234,-2.22321,0.0946795
26.5,-0.381206,-0.0229586,-2.15813,0.118645,-0.560094,0.00242057,-1.74029,0.0587786
26.6,-0.574075,-0.011822,-1.66917,0.0999055,-0.702148,0.00560285,-1.1008,0.00486707
26.7,-0.710041,-0.00370634,-1.031,0.0595741,-0.7758,0.00303219,-0.372242,-0.0562803
26.8,-0.777473,-0.000328994,-0.308951,0.00674815,-0.775211,-0.00546121,0.384035,-0.113588
26.9,-0.771039,-0.00244153,0.436745,-0.0485492,-0.700493,-0.0189736,1.11033,-0.156661
27,-0.691248,-0.00978495,1.14849,-0.0962343,-0.557704,-0.0356239,1.74543,-0.176343
27.1,-0.544505,-0.0211129,1.76518,-0.126756,-0.359315,-0.0527167,2.22235,-0.165513
27.2,-0.343589,-0.0342864,2.22117,-0.132021,-0.124304,-0.0670201,2.47787,-0.120554
27.3,-0.107685,-0.0464949,2.45653,-0.107003,0.123212,-0.075209,2.47247,-0.0432251
27.4,0.139084,-0.0546602,2.43564,-0.0516576,0.3572,-0.0744576,2.20729,0.0582525
27.5,0.370927,-0.056002,2.16202,0.0279741,0.553755,-0.0630409,1.72381,0.170083
27.6,0.564375,-0.0486254,1.67687,0.120505,0.694269,-0.040755,1.08647,0.275635
27.7,0.701305,-0.0319451,1.04267,0.211606,0.766735,-0.00903967,0.362868,0.358672
27.8,0.770126,-0.00683522,0.325186,0.286841,0.765601,0.0291831,-0.385565,0.405784
27.9,0.765582,0.0244749,-0.415039,0.333816,0.691258,0.0698563,-1.10129,0.40768
28,0.688268,0.0586704,-1.12058,0.34334,0.55,0.108225,-1.72387,0.359686
